               Revista              Revista ['P1,138 100 214 120']
              Mexicana             Mexicana ['P1,222 98 323 122']
                    de                   de ['P1,334 97 356 116']
              Ciencias             Ciencias ['P1,367 96 453 116']
X           Geol?gicas           Geol6gicas ['P1,464 94 582 119']
                     ,                    , ['P1,464 94 582 119']
               volumen              volumen ['P1,593 93 681 112']
                    14                   14 ['P1,693 93 722 115']
                     ,                    , ['P1,693 93 722 115']
X              niimero                numem ['P1,732 92 808 111']
                     2                    2 ['P1,819 91 837 113']
                     ,                    , ['P1,819 91 837 113']
.                    A                      ['P1,112 161 114 163']
                  1997                 1997 ['P1,142 175 193 197']
                     ,                    , ['P1,142 175 193 197']
                    p.                   p. ['P1,201 180 218 198']
               115-135              115-135 ['P1,231 172 328 193']
                     .                    . ['P1,231 172 328 193']
X          Unlversidad          Univcrsidad ['P1,139 207 262 228']
              Nacional             Nacional ['P1,271 205 361 225']
X             Autonoma             Autdnoma ['P1,372 204 478 224']
                    de                   de ['P1,488 203 510 222']
X               Mexico               Msxico ['P1,522 202 602 224']
                     ,                    , ['P1,522 202 602 224']
             Instituto            Instituto ['P1,614 201 696 220']
                    de                   de ['P1,706 200 730 219']
              Geologia             Geologia ['P1,739 199 837 223']
                     ,                    , ['P1,739 199 837 223']
X               M?xico               Mdxtco ['P1,139 237 221 259']
                     ,                    , ['P1,139 237 221 259']
X                 D.F.                 D.P. ['P1,228 236 271 255']
          STRATIGRAPHY         STRATIGRAPHY ['P1,320 300 753 348']
                   AND                  AND ['P1,769 299 893 341']
              REGIONAL             REGIONAL ['P1,908 294 1206 339']
          SIGNIFICANCE         SIGNIFICANCE ['P1,1224 286 1625 335']
                    OF                   OF ['P1,6 380 78 423']
         MISSISSIPPIAN        MISSISSIPPIAN ['P1,93 372 502 421']
                    TO                   TO ['P1,320 495 393 536']
              JURASSIC             JURASSIC ['P1,411 491 677 535']
                 ROCKS                ROCKS ['P1,693 488 885 531']
                    IN                   IN ['P1,903 487 963 528']
                SIERRA               SIERRA ['P1,980 484 1185 528']
                 SANTA                SANTA ['P1,1203 481 1389 525']
                TERESA               TERESA ['P1,1406 477 1636 526']
                     ,                    , ['P1,1406 477 1636 526']
                SONORA               SONORA ['P1,1657 472 1905 521']
                     ,                    , ['P1,1657 472 1905 521']
                MEXICO               MEXICO ['P1,6 555 234 600']
                  John                 John ['P1,1393 645 1474 676']
                    H.                   H. ['P1,1485 645 1522 674']
               Stewart              Stewart ['P1,1537 634 1687 676']
X                    ]                    l ['P1,1537 634 1687 676']
                     ,                    , ['P1,1537 634 1687 676']
               Ricardo              Ricardo ['P1,1701 639 1835 671']
        Amaya-Martinez       Amaya-Martinez ['P1,1845 634 2127 676']
                     2                    2 ['P1,2128 625 2143 650']
X                    J                    , ['P1,2143 658 2150 668']
                Robert               Robert ['P1,1492 687 1607 718']
X                   G.                   6. ['P1,1619 686 1652 717']
                Stamm3               Stamm3 ['P1,1668 675 1803 718']
                     ,                    , ['P1,1668 675 1803 718']
                 Bruce                Bruce ['P1,1818 683 1917 713']
                    R.                   R. ['P1,1928 681 1959 711']
X             Wardlaw3             8'ardlaw ['P1,1979 669 2150 712']
X                    ,                   3, ['P1,1979 669 2150 712']
                George               George ['P1,1358 734 1480 772']
                    D.                   D. ['P1,1490 733 1527 762']
               Stanley              Stanley ['P1,1542 729 1670 769']
                     ,                    , ['P1,1542 729 1670 769']
                   Jr.                  Jr. ['P1,1684 720 1753 763']
                     4                    4 ['P1,1684 720 1753 763']
                     ,                    , ['P1,1684 720 1753 763']
                   and                  and ['P1,1769 726 1832 758']
                Calvin               Calvin ['P1,1844 725 1950 756']
                    H.                   H. ['P1,1962 724 1998 754']
              Stevens5             Stevens5 ['P1,2014 713 2154 754']
