1	Revista	Revista	NNP	PERSON	Revista	nn	5	1	['P1,138 100 214 120']
2	Mexicana	Mexicana	NNP	PERSON	Mexicana	nn	5	1	['P1,222 98 323 122']
3	de	de	IN	PERSON	de	amod	5	1	['P1,334 97 356 116']
4	Ciencias	Ciencias	NNP	PERSON	Ciencias	nn	5	1	['P1,367 96 453 116']
5	Geol?gicas	Geol6gicas	NNP	PERSON	Geol?gicas	_	0	1	['P1,464 94 582 119']
6	,	,	,	O	,	_	0	1	['P1,464 94 582 119']
7	volumen	volumen	NNP	O	volumen	dep	5	1	['P1,593 93 681 112']
8	14	14	CD	NUMBER	14	num	7	1	['P1,693 93 722 115']
9	,	,	,	O	,	_	0	1	['P1,693 93 722 115']
10	niimero	numem	NN	O	niimero	appos	7	1	['P1,732 92 808 111']
11	2	2	CD	NUMBER	2	num	10	1	['P1,819 91 837 113']
12	,	,	,	O	,	_	0	1	['P1,819 91 837 113']

1	A		DT	O	a	det	2	2	['P1,112 161 114 163']
2	1997	1997	CD	DATE	1997	_	0	2	['P1,142 175 193 197']
3	,	,	,	O	,	_	0	2	['P1,142 175 193 197']
4	p.	p.	NN	O	p.	appos	2	2	['P1,201 180 218 198']
5	115-135	115-135	CD	NUMBER	115-135	num	4	2	['P1,231 172 328 193']
6	.	.	.	O	.	_	0	2	['P1,231 172 328 193']

1	Unlversidad	Univcrsidad	NNP	ORGANIZATION	Unlversidad	nn	5	3	['P1,139 207 262 228']
2	Nacional	Nacional	NNP	ORGANIZATION	Nacional	nn	5	3	['P1,271 205 361 225']
3	Autonoma	Autdnoma	NNP	ORGANIZATION	Autonoma	nn	5	3	['P1,372 204 478 224']
4	de	de	IN	ORGANIZATION	de	amod	5	3	['P1,488 203 510 222']
5	Mexico	Msxico	NNP	ORGANIZATION	Mexico	_	0	3	['P1,522 202 602 224']
6	,	,	,	O	,	_	0	3	['P1,522 202 602 224']
7	Instituto	Instituto	NNP	ORGANIZATION	Instituto	nn	9	3	['P1,614 201 696 220']
8	de	de	IN	ORGANIZATION	de	amod	9	3	['P1,706 200 730 219']
9	Geologia	Geologia	NNP	ORGANIZATION	Geologia	appos	5	3	['P1,739 199 837 223']
10	,	,	,	O	,	_	0	3	['P1,739 199 837 223']
11	M?xico	Mdxtco	NNP	LOCATION	M?xico	appos	5	3	['P1,139 237 221 259']
12	,	,	,	O	,	_	0	3	['P1,139 237 221 259']
13	D.F.	D.P.	NNP	PERSON	D.F.	appos	5	3	['P1,228 236 271 255']

1	STRATIGRAPHY	STRATIGRAPHY	NN	O	stratigraphy	_	0	4	['P1,320 300 753 348']
2	AND	AND	CC	O	and	_	0	4	['P1,769 299 893 341']
3	REGIONAL	REGIONAL	JJ	O	regional	conj_and	1	4	['P1,908 294 1206 339']
4	SIGNIFICANCE	SIGNIFICANCE	NN	O	significance	dep	1	4	['P1,1224 286 1625 335']

1	OF	OF	IN	O	of	_	0	5	['P1,6 380 78 423']
2	MISSISSIPPIAN	MISSISSIPPIAN	NNP	MISC	MISSISSIPPIAN	pobj	1	5	['P1,93 372 502 421']

1	TO	TO	TO	O	to	_	0	6	['P1,320 495 393 536']
2	JURASSIC	JURASSIC	NNP	O	JURASSIC	nn	3	6	['P1,411 491 677 535']
3	ROCKS	ROCKS	NNP	O	ROCKS	dep	1	6	['P1,693 488 885 531']
4	IN	IN	IN	O	in	dep	7	6	['P1,903 487 963 528']
5	SIERRA	SIERRA	NNP	LOCATION	SIERRA	nn	6	6	['P1,980 484 1185 528']
6	SANTA	SANTA	NNP	LOCATION	SANTA	pobj	4	6	['P1,1203 481 1389 525']
7	TERESA	TERESA	NNP	LOCATION	TERESA	rcmod	3	6	['P1,1406 477 1636 526']
8	,	,	,	O	,	_	0	6	['P1,1406 477 1636 526']
9	SONORA	SONORA	NNP	LOCATION	SONORA	appos	3	6	['P1,1657 472 1905 521']
10	,	,	,	O	,	_	0	6	['P1,1657 472 1905 521']

1	MEXICO	MEXICO	NNP	LOCATION	MEXICO	_	0	7	['P1,6 555 234 600']

1	John	John	NNP	PERSON	John	nn	7	8	['P1,1393 645 1474 676']
2	H.	H.	NNP	PERSON	H.	nn	7	8	['P1,1485 645 1522 674']
3	Stewart	Stewart	NNP	PERSON	Stewart	nn	7	8	['P1,1537 634 1687 676']
4	]	l	NNP	O	]	nn	7	8	['P1,1537 634 1687 676']
5	,	,	,	O	,	_	0	8	['P1,1537 634 1687 676']
6	Ricardo	Ricardo	NNP	PERSON	Ricardo	appos	7	8	['P1,1701 639 1835 671']
7	Amaya-Martinez	Amaya-Martinez	NNP	PERSON	Amaya-Martinez	_	0	8	['P1,1845 634 2127 676']
8	2	2	CD	NUMBER	2	num	7	8	['P1,2128 625 2143 650']
9	J	,	NNP	O	J	nn	12	8	['P1,2143 658 2150 668']
10	Robert	Robert	NNP	PERSON	Robert	nn	12	8	['P1,1492 687 1607 718']
11	G.	6.	NNP	PERSON	G.	nn	12	8	['P1,1619 686 1652 717']
12	Stamm3	Stamm3	NNP	PERSON	Stamm3	dep	7	8	['P1,1668 675 1803 718']
13	,	,	,	O	,	_	0	8	['P1,1668 675 1803 718']
14	Bruce	Bruce	NNP	PERSON	Bruce	nn	16	8	['P1,1818 683 1917 713']
15	R.	R.	NNP	PERSON	R.	nn	16	8	['P1,1928 681 1959 711']
16	Wardlaw3	8'ardlaw	NNP	PERSON	Wardlaw3	conj_and	12	8	['P1,1979 669 2150 712']
17	,	3,	,	O	,	_	0	8	['P1,1979 669 2150 712']
18	George	George	NNP	PERSON	George	nn	20	8	['P1,1358 734 1480 772']
19	D.	D.	NNP	PERSON	D.	nn	20	8	['P1,1490 733 1527 762']
20	Stanley	Stanley	NNP	PERSON	Stanley	conj_and	12	8	['P1,1542 729 1670 769']
21	,	,	,	O	,	_	0	8	['P1,1542 729 1670 769']
22	Jr.	Jr.	NNP	O	Jr.	conj_and	12	8	['P1,1684 720 1753 763']
23	4	4	CD	NUMBER	4	num	22	8	['P1,1684 720 1753 763']
24	,	,	,	O	,	_	0	8	['P1,1684 720 1753 763']
25	and	and	CC	O	and	_	0	8	['P1,1769 726 1832 758']
26	Calvin	Calvin	NNP	PERSON	Calvin	nn	28	8	['P1,1844 725 1950 756']
27	H.	H.	NNP	PERSON	H.	nn	28	8	['P1,1962 724 1998 754']
28	Stevens5	Stevens5	NNP	PERSON	Stevens5	conj_and	12	8	['P1,2014 713 2154 754']

1	ABSTRACT	ABSTRACT	NN	O	abstract	_	0	9	['P1,993 774 1167 811']

1	In	In	IN	O	in	_	0	10	['P1,512 873 540 895']
2	Sierra	Sierra	NNP	LOCATION	Sierra	nn	4	10	['P1,553 870 632 895']
3	Santa	Santa	NNP	LOCATION	Santa	nn	4	10	['P1,646 870 719 893']
4	Teresa	Teresa	NNP	LOCATION	Teresa	prep_in	20	10	['P1,731 869 826 897']
5	,	,	,	O	,	_	0	10	['P1,731 869 826 897']
6	about	about	IN	O	about	_	0	10	['P1,840 867 914 891']
7	20	20	CD	NUMBER	20	num	9	10	['P1,926 866 959 889']
8	km	km	NN	O	km	nn	9	10	['P1,972 865 1015 889']
9	southeast	southeast	NN	O	southeast	prep_about	4	10	['P1,1027 864 1150 888']
10	of	of	IN	O	of	_	0	10	['P1,1164 862 1194 886']
11	Hermosillo	Hermosillo	NNP	PERSON	Hermosillo	nn	15	10	['P1,1203 859 1360 887']
12	,	,	,	O	,	_	0	10	['P1,1203 859 1360 887']
13	Sonora	Sonora	NNP	LOCATION	Sonora	appos	15	10	['P1,1375 859 1475 886']
14	,	,	,	O	,	_	0	10	['P1,1375 859 1475 886']
15	Mexico	Mexico	NNP	LOCATION	Mexico	prep_of	9	10	['P1,1489 856 1597 883']
16	,	,	,	O	,	_	0	10	['P1,1489 856 1597 883']
17	Paleozoic	Paleozoic	JJ	MISC	paleozoic	amod	18	10	['P1,1611 853 1739 878']
18	strata	strata	NN	O	stratum	nsubjpass	20	10	['P1,1754 855 1825 877']
19	are	are	VBP	O	be	auxpass	20	10	['P1,1837 858 1878 875']
20	exposed	exposed	VBN	O	expose	_	0	10	['P1,413 913 524 944']
21	in	in	IN	O	in	_	0	10	['P1,537 912 563 936']
22	the	the	DT	O	the	det	24	10	['P1,576 912 617 935']
23	upper	upper	JJ	O	upper	amod	24	10	['P1,630 918 708 942']
24	plate	plate	NN	O	plate	prep_in	20	10	['P1,720 910 794 941']
25	,	,	,	O	,	_	0	10	['P1,720 910 794 941']
26	and	and	CC	O	and	_	0	10	['P1,808 908 857 932']
27	Mesozoic	Mesozoic	JJ	MISC	mesozoic	amod	28	10	['P1,870 906 1001 931']
28	rocks	rocks	NNS	O	rock	prep_in	20	10	['P1,1015 905 1088 929']
29	in	in	IN	O	in	_	0	10	['P1,1102 905 1127 928']
30	the	the	DT	O	the	det	32	10	['P1,1140 904 1181 928']
31	lower	lower	JJR	O	lower	amod	32	10	['P1,1196 903 1272 927']
32	plate	plate	NN	O	plate	prep_in	28	10	['P1,1285 901 1358 932']
33	,	,	,	O	,	_	0	10	['P1,1285 901 1358 932']
34	of	of	IN	O	of	_	0	10	['P1,1374 899 1404 924']
35	a	a	DT	O	a	det	38	10	['P1,1415 907 1429 923']
36	post-Early-Jurassic	post-Early-Jurassic	JJ	O	post-early-jurassic	amod	38	10	['P1,1441 895 1702 929']
37	thrust	thrust	NN	O	thrust	nn	38	10	['P1,1717 894 1794 918']
38	fault	fault	NN	O	fault	prep_of	24	10	['P1,1807 892 1876 916']
39	.	.	.	O	.	_	0	10	['P1,1807 892 1876 916']

1	Paleozoic	Paleozoic	JJ	MISC	paleozoic	amod	2	11	['P1,413 955 541 980']
2	rocks	rocks	NNS	O	rock	nsubjpass	8	11	['P1,554 954 625 978']
3	in	in	IN	O	in	_	0	11	['P1,638 953 664 977']
4	the	the	DT	O	the	det	6	11	['P1,674 952 715 976']
5	upper	upper	JJ	O	upper	amod	6	11	['P1,726 959 803 982']
6	plate	plate	NN	O	plate	prep_in	2	11	['P1,814 950 878 981']
7	are	are	VBP	O	be	auxpass	8	11	['P1,891 957 930 973']
8	divided	divided	VBN	O	divide	_	0	11	['P1,943 947 1042 972']
9	into	into	IN	O	into	_	0	11	['P1,1054 947 1104 971']
10	seven	seven	CD	NUMBER	seven	num	11	11	['P1,1118 953 1192 970']
11	units	units	NNS	O	unit	prep_into	8	11	['P1,1204 944 1275 969']
12	.	.	.	O	.	_	0	11	['P1,1204 944 1275 969']

1	Units	Units	NNS	O	unit	nsubj	7	12	['P1,1289 942 1360 967']
2	1	I	CD	NUMBER	1	num	1	12	['P1,1376 942 1385 965']
3	through	through	IN	O	through	_	0	12	['P1,1401 940 1504 970']
4	5	5	CD	NUMBER	5	prep_through	1	12	['P1,1516 940 1529 963']
5	are	are	VBP	O	be	cop	7	12	['P1,1544 946 1583 963']
6	about	about	IN	O	about	dep	7	12	['P1,1596 938 1669 962']
7	1,500-m	1,500-m	JJ	O	1,500-m	_	0	12	['P1,1685 936 1793 965']
8	thick	thick	JJ	O	thick	advmod	7	12	['P1,1804 934 1878 962']
9	,	,	,	O	,	_	0	12	['P1,1804 934 1878 962']
10	composed	composed	VBN	O	compose	dep	7	12	['P1,415 996 549 1028']
11	of	of	IN	O	of	_	0	12	['P1,559 996 590 1020']
12	shallow-water	shallow-water	JJ	O	shallow-water	amod	14	12	['P1,598 995 787 1020']
13	lime	lime	NN	O	lime	nn	14	12	['P1,798 993 856 1016']
14	mudstone	mudstone	NN	O	mudstone	prep_of	10	12	['P1,866 991 996 1015']
15	and	and	CC	O	and	_	0	12	['P1,1007 988 1055 1014']
16	minor	minor	JJ	O	minor	amod	17	12	['P1,1066 988 1145 1013']
17	wackestone	wackestone	NN	O	wackestone	conj_and	14	12	['P1,1155 987 1318 1013']
18	,	,	,	O	,	_	0	12	['P1,1155 987 1318 1013']
19	packstone	packstone	NN	O	packstone	conj_and	14	12	['P1,1330 983 1470 1015']
20	,	,	,	O	,	_	0	12	['P1,1330 983 1470 1015']
21	and	and	CC	O	and	_	0	12	['P1,1483 981 1530 1006']
22	bioclastic	bioclastic	JJ	O	bioclastic	amod	23	12	['P1,1541 979 1667 1005']
23	packstone	packstone	NN	O	packstone	conj_and	14	12	['P1,1680 978 1819 1009']
24	,	,	,	O	,	_	0	12	['P1,1680 978 1819 1009']
25	and	and	CC	O	and	_	0	12	['P1,1831 975 1880 1000']
26	range	range	NN	O	range	conj_and	14	12	['P1,415 1048 487 1071']
27	in	in	IN	O	in	_	0	12	['P1,499 1040 523 1063']
28	age	age	NN	O	age	prep_in	26	12	['P1,533 1046 578 1069']
29	from	from	IN	O	from	_	0	12	['P1,588 1038 653 1062']
30	Late	Late	JJ	O	late	amod	31	12	['P1,662 1038 721 1061']
31	Mississippian	Mississippian	NNP	O	Mississippian	prep_from	10	12	['P1,731 1034 914 1065']
32	to	to	TO	O	to	_	0	12	['P1,923 1037 948 1057']
33	Middle	Middle	NNP	LOCATION	Middle	nn	34	12	['P1,959 1031 1054 1056']
34	Pennsylvanian	Pennsylvanian	NNP	LOCATION	Pennsylvanian	prep_to	10	12	['P1,1064 1029 1264 1061']
35	.	.	.	O	.	_	0	12	['P1,1064 1029 1264 1061']

1	Unit	Unit	NN	O	unit	nsubj	3	13	['P1,1276 1027 1335 1052']
2	6	6	CD	NUMBER	6	num	1	13	['P1,1346 1026 1360 1050']
3	is	is	VBZ	O	be	_	0	13	['P1,1371 1026 1392 1049']
4	about	about	IN	O	about	advmod	3	13	['P1,1403 1025 1475 1049']
5	110	110	CD	NUMBER	110	pobj	4	13	['P1,1490 1024 1545 1047']
6	-	-	:	O	-	_	0	13	['P1,1490 1024 1545 1047']
7	to	to	TO	O	to	_	0	13	['P1,1556 1026 1581 1047']
8	120-m	120-m	JJ	O	120-m	amod	9	13	['P1,1595 1022 1677 1046']
9	thick	thick	JJ	O	thick	prep_to	3	13	['P1,1688 1020 1754 1044']
10	and	and	CC	O	and	_	0	13	['P1,1764 1019 1811 1043']
11	consists	con-sists	VBZ	O	consist	prep_to	3	13	['P1,1821 1026 1879 1042', 'P1,416 1083 472 1107']
