                 UPPER                UPPER ['P1,989 155 1218 203']
            CRETACEOUS           CRETACEOUS ['P1,1238 152 1681 201']
             ECHINOIDS            ECHINOIDS ['P1,1702 151 2076 200']
                  FROM                 FROM ['P1,770 229 966 276']
X                JAMES               JAlVKS ['P1,985 228 1204 275']
                  ROSS                 ROSS ['P1,1225 227 1396 274']
                 BASIN                BASIN ['P1,1417 227 1633 282']
                     ,                    , ['P1,1417 227 1633 282']
            ANTARCTICA           ANTARCTICA ['P1,1651 224 2079 272']
                DIDIER               DIDIER ['P1,77 477 207 509']
             NERAUDEAU            NERAUDEAU ['P1,220 466 529 514']
                     ,                    , ['P1,220 466 529 514']
                    J.                   J. ['P1,543 474 578 507']
              ALISTAIR             ALISTAIR ['P1,592 474 758 507']
X                CRAME               CHAIKE ['P1,772 473 940 506']
X                    &                  8r, ['P1,957 472 989 506']
X              MARILYN               5LvmvN ['P1,1004 472 1167 505']
                KOOSER               KOOSER ['P1,1180 471 1377 505']
             NERAUDEAU            NERAUDEAU ['P1,78 581 330 611']
                    D.                   D. ['P1,344 581 390 616']
                     ,                    , ['P1,344 581 390 616']
X                CRAME                CRANE ['P1,405 580 546 610']
                  J.A.                 J.A. ['P1,561 579 625 609']
                     &                    & ['P1,640 579 668 609']
                KOOSER               KOOSER ['P1,682 579 848 609']
                    M.                   M. ['P1,861 579 903 608']
                  2000                 2000 ['P1,918 579 1008 608']
                     .                    . ['P1,918 579 1008 608']
                 Upper                Upper ['P1,1021 578 1130 615']
            Cretaceous           Cretaceous ['P1,1144 577 1333 607']
             echinoids            echinoids ['P1,1347 576 1507 606']
                  from                 from ['P1,1521 576 1601 606']
                 James                James ['P1,1614 576 1723 606']
                  Ross                 Ross ['P1,1737 576 1815 606']
                 Basin                Basin ['P1,1830 576 1937 611']
                     ,                    , ['P1,1830 576 1937 611']
X           Antarctica           Antarc-tic ['P1,1948 575 2077 605', 'P1,78 624 148 654']
X                    .                   a. ['P1,1948 575 2077 605', 'P1,78 624 148 654']
                     [                    [ ['P1,170 623 348 657']
             Echinides            Echinides ['P1,170 623 348 657']
                    du                   du ['P1,366 622 409 652']
X              Cr?tac?              Cretace ['P1,427 622 559 652']
X            sup?rieur            superieur ['P1,578 622 745 659']
                    du                   du ['P1,763 620 805 651']
                Bassin               Bassin ['P1,823 621 939 651']
                    de                   de ['P1,957 620 995 650']
                 James                James ['P1,1012 620 1121 650']
                  Ross                 Ross ['P1,1139 620 1217 649']
                Island               Island ['P1,1236 619 1352 655']
                     ,                    , ['P1,1236 619 1352 655']
           Antarctique          Antarctique ['P1,1367 618 1596 656']
X                    ]                    j ['P1,1367 618 1596 656']
                     .                    . ['P1,1367 618 1596 656']
               GEOBIOS              GEOBIOS ['P1,1614 617 1800 654']
                     ,                    , ['P1,1614 617 1800 654']
                    33                   33 ['P1,1818 618 1869 653']
                     ,                    , ['P1,1818 618 1869 653']
                     4                    4 ['P1,1887 618 1915 647']
                     :                    : ['P1,1887 618 1915 647']
               455-466              455-466 ['P1,1933 618 2076 647']
                     .                    . ['P1,1933 618 2076 647']
          Villeurbanne         Villeurbanne ['P1,77 671 312 707']
                     ,                    , ['P1,77 671 312 707']
                    le                   le ['P1,324 670 353 700']
            31.08.2000           31.08.2000 ['P1,367 670 563 700']
                     .                    . ['P1,367 670 563 700']
             Manuscrit            Manuscrit ['P1,79 774 256 805']
X              dl?pos?               depose ['P1,269 774 384 811']
                    le                   le ['P1,398 773 427 803']
            05.10.1998           05.10.1998 ['P1,441 773 637 809']
                     ;                    ; ['P1,441 773 637 809']
X              accept?              accepts ['P1,652 773 778 809']
X        d??nitivement       d6finitivement ['P1,793 771 1045 802']
                    le                   le ['P1,1057 770 1086 801']
            26.12.1999           26.12.1999 ['P1,1100 771 1293 800']
                     .                    . ['P1,1100 771 1293 800']
              ABSTRACT             ABSTRACT ['P1,78 889 287 920']
                     -                    - ['P1,300 906 310 911']
                   New                  New ['P1,323 889 400 919']
      palaeontological     palaeontological ['P1,413 887 696 927']
           collections          collections ['P1,709 887 888 918']
                  made                 made ['P1,901 886 993 917']
                  from                 from ['P1,1006 886 1086 917']
                 Upper                Upper ['P1,1099 886 1207 924']
            Cretaceous           Cretaceous ['P1,1219 886 1408 916']
                strata               strata ['P1,1423 887 1525 915']
               exposed              exposed ['P1,1539 884 1674 923']
                within               within ['P1,1685 884 1798 915']
                   the                  the ['P1,1810 884 1865 915']
                 James                James ['P1,1877 884 1987 915']
                  Ross                 Ross ['P1,2001 884 2078 914']
                 Basin                Basin ['P1,79 933 187 969']
                     ,                    , ['P1,79 933 187 969']
            Antarctica           Antarctica ['P1,198 932 390 968']
                     ,                    , ['P1,198 932 390 968']
               include              include ['P1,404 931 531 962']
                   ten                  ten ['P1,545 934 600 962']
              echinoid             echinoid ['P1,615 930 760 961']
               species              species ['P1,775 930 903 968']
                     .                    . ['P1,775 930 903 968']
                  Five                 Five ['P1,918 930 991 960']
               species              species ['P1,1006 930 1125 967']
                   are                  are ['P1,1141 939 1194 960']
             described            described ['P1,1209 928 1370 959']
                   for                  for ['P1,1384 928 1431 959']
                   the                  the ['P1,1445 928 1499 959']
                 first                first ['P1,1513 928 1585 958']
                  time                 time ['P1,1599 928 1676 958']
                  from                 from ['P1,1690 928 1770 958']
            Antarctica           Antarctica ['P1,1783 927 1973 964']
                     ,                    , ['P1,1783 927 1973 964']
                 while                while ['P1,1987 927 2079 957']
                  four                 four ['P1,80 976 149 1006']
                others               others ['P1,160 975 275 1012']
                     ,                    , ['P1,160 975 275 1012']
            previously           previously ['P1,285 974 466 1013']
             published            published ['P1,476 974 646 1012']
                    by                   by ['P1,656 974 698 1011']
               Lambert              Lambert ['P1,708 973 858 1004']
                    in                   in ['P1,868 973 901 1003']
                  1910                 1910 ['P1,915 974 1003 1009']
                     ,                    , ['P1,915 974 1003 1009']
                   are                  are ['P1,1015 982 1068 1003']
               revised              revised ['P1,1079 972 1203 1003']
             according            according ['P1,1214 972 1378 1009']
                    to                   to ['P1,1388 974 1419 1001']
                   the                  the ['P1,1430 971 1484 1001']
                   new                  new ['P1,1495 981 1564 1001']
                  data                 data ['P1,1576 971 1660 1002']
                     .                    . ['P1,1576 971 1660 1002']
                   The                  The ['P1,1671 971 1736 1001']
             described            described ['P1,1747 970 1909 1001']
             echinoids            echinoids ['P1,1920 970 2079 1001']
              comprise             comprise ['P1,80 1019 232 1056']
                   two                  two ['P1,246 1021 306 1048']
                   new                  new ['P1,320 1027 390 1048']
               species              species ['P1,405 1018 534 1055']
                     ,                    , ['P1,405 1018 534 1055']
         Huttonechinus        Huttonechinus ['P1,546 1016 801 1047']
            antarctica           antarctica ['P1,814 1016 989 1046']
                  nov.                 nov. ['P1,1004 1025 1068 1045']
                    sp                   sp ['P1,1082 1025 1127 1053']
                     .                    . ['P1,1082 1025 1127 1053']
                   and                  and ['P1,1141 1015 1204 1045']
    Nordenskjoeldaster   Nordenskjoeldaster ['P1,1215 1014 1549 1052']
                     ?                    ? ['P1,1562 1014 1577 1044']
             australis            australis ['P1,1590 1014 1742 1044']
                  nov.                 nov. ['P1,1756 1023 1821 1044']
                   sp.                  sp. ['P1,1835 1023 1891 1051']
                     ,                    , ['P1,1835 1023 1891 1051']
             specimens            specimens ['P1,1905 1014 2079 1051']
               closely              closely ['P1,80 1061 193 1098']
               related              related ['P1,205 1060 327 1091']
                    to                   to ['P1,339 1063 370 1091']
                    an                   an ['P1,384 1070 426 1090']
              European             European ['P1,438 1060 607 1097']
            spatangoid           spatangoid ['P1,621 1059 819 1097']
                     ,                    , ['P1,621 1059 819 1097']
             Micraster            Micraster ['P1,830 1059 997 1089']
X                  aff                   aK ['P1,1010 1058 1060 1088']
.                    .                      ['P1,1010 1058 1060 1088']
X            regularis            reguiaris ['P1,1073 1058 1232 1095']
                     ,                    , ['P1,1073 1058 1232 1095']
                   and                  and ['P1,1247 1057 1310 1088']
                 three                three ['P1,1321 1057 1411 1087']
                  taxa                 taxa ['P1,1424 1059 1499 1087']
                  that                 that ['P1,1511 1057 1582 1087']
                   can                  can ['P1,1594 1059 1710 1087']
                   not                  not ['P1,1594 1059 1710 1087']
                    be                   be ['P1,1721 1057 1759 1087']
                 named                named ['P1,1771 1056 1887 1087']
                    at                   at ['P1,1900 1059 1933 1087']
                   the                  the ['P1,1944 1056 1998 1086']
