              DEVONIAN             DEVONIAN ['P1,120 82 351 112']
          STRATIGRAPHY         STRATIGRAPHY ['P1,362 82 700 113']
                    OF                   OF ['P1,711 82 767 113']
                   THE                  THE ['P1,776 82 864 112']
                 MOOSE                MOOSE ['P1,875 81 1027 112']
                 RIVER                RIVER ['P1,1038 81 1169 111']
                 BASIN                BASIN ['P1,1179 81 1318 117']
                     ,                    , ['P1,1179 81 1318 117']
                 JAMES                JAMES ['P1,1332 81 1471 112']
                   BAY                  BAY ['P1,1482 81 1569 111']
               LOWLAND              LOWLAND ['P1,1580 81 1813 117']
                     ,                    , ['P1,1580 81 1813 117']
               ONTARIO              ONTARIO ['P1,1825 81 2036 117']
                     ,                    , ['P1,1825 81 2036 117']
                CANADA               CANADA ['P1,986 130 1175 161']
                  P.G.                 P.G. ['P1,943 221 1026 252']
X             TELFORDI             TELFoRDt ['P1,1039 221 1217 252']
              ABSTRACT             ABSTRACT ['P1,986 312 1175 343']
                   The                  The ['P1,91 400 145 425']
                 Moose                Moose ['P1,152 400 246 425']
                 River                River ['P1,254 400 329 425']
                 Basin                Basin ['P1,338 400 415 425']
                    is                   is ['P1,422 400 443 425']
                    an                   an ['P1,452 407 486 425']
         intracratonic        intracratonic ['P1,493 400 676 425']
             Paleozoic            Paleozoic ['P1,683 400 821 425']
           sedimentary          sedimentary ['P1,829 399 1000 430']
                 basin                basin ['P1,1007 399 1081 424']
            underlying           underlying ['P1,1088 399 1240 430']
                   the                  the ['P1,1247 399 1291 424']
                 James                James ['P1,1299 400 1384 424']
                   Bay                  Bay ['P1,1393 400 1447 430']
               Lowland              Lowland ['P1,1455 398 1579 424']
                    of                   of ['P1,1587 399 1619 424']
          northeastern         northeastern ['P1,1625 399 1803 424']
               Ontario              Ontario ['P1,1810 398 1921 424']
                   and                  and ['P1,1929 398 1981 423']
            containing           containing ['P1,1989 397 2138 429']
                strata               strata ['P1,22 444 101 466']
               ranging              ranging ['P1,112 440 218 471']
                  from                 from ['P1,231 441 300 466']
            Ordovician           Ordovician ['P1,312 440 469 466']
                    to                   to ['P1,481 444 509 466']
                 Upper                Upper ['P1,521 441 610 471']
              Devonian             Devonian ['P1,622 441 758 466']
                   age                  age ['P1,770 448 826 472']
                     .                    . ['P1,770 448 826 472']
                Except               Except ['P1,839 441 936 470']
                 along                along ['P1,947 440 1025 470']
                   the                  the ['P1,1036 440 1080 465']
                mildly               mildly ['P1,1091 440 1180 470']
              deformed             deformed ['P1,1192 440 1327 465']
               eastern              eastern ['P1,1339 443 1439 465']
                margin               margin ['P1,1450 439 1549 470']
                strata               strata ['P1,1561 443 1641 465']
                   are                  are ['P1,1652 446 1695 465']
             generally            generally ['P1,1706 439 1834 470']
            flat-lying           flat-lying ['P1,1846 439 1988 470']
                     .                    . ['P1,1846 439 1988 470']
              Devonian             Devonian ['P1,2003 439 2138 464']
            carbonates           carbonates ['P1,23 481 183 510']
                     ,                    , ['P1,23 481 183 510']
                shales               shales ['P1,196 481 288 510']
                     ,                    , ['P1,196 481 288 510']
            evaporites           evaporites ['P1,302 481 444 511']
                   and                  and ['P1,456 481 508 506']
                 minor                minor ['P1,520 481 604 506']
            sandstones           sandstones ['P1,617 481 769 506']
              comprise             comprise ['P1,781 480 908 511']
                   the                  the ['P1,919 480 963 505']
                 upper                upper ['P1,974 487 1056 510']
                   400                  400 ['P1,1067 481 1116 505']
                metres               metres ['P1,1127 484 1219 505']
                    of                   of ['P1,1231 480 1263 505']
                   the                  the ['P1,1273 481 1316 505']
             Paleozoic            Paleozoic ['P1,1327 480 1463 505']
            succession           succession ['P1,1475 480 1628 505']
                     .                    . ['P1,1475 480 1628 505']
                     A                    A ['P1,1641 481 1667 504']
                  thin                 thin ['P1,1678 480 1734 505']
