1	VOLUME	VOLUME	NN	O	volume	nn	3	1	['P1,331 143 503 171']
2	8	S	CD	DATE	8	num	3	1	['P1,518 144 538 172']
3	NOVEMBER	NOVEMBER	NNP	DATE	NOVEMBER	_	0	1	['P1,906 144 1147 178']
4	,	,	,	DATE	,	_	0	1	['P1,906 144 1147 178']
5	1960	1960	CD	DATE	1960	num	6	1	['P1,1162 147 1237 174']
6	NUMBER	NUMBER	NN	O	number	appos	3	1	['P1,1601 146 1782 173']
7	11	11	CD	NUMBER	11	dep	3	1	['P1,1794 146 1831 173']

1	JOURNAL	JOURNAL	NN	O	journal	_	0	2	['P1,871 253 1289 327']

1	ofthe	ofthe	NN	O	ofthe	_	0	3	['P1,1017 378 1147 425']

1	ALBERTA	ALBERTA	NNP	LOCATION	ALBERTA	nn	2	4	['P1,642 485 1065 546']
2	SOCIETY	SOCIETY	NNP	O	SOCIETY	_	0	4	['P1,1141 486 1520 547']

1	of	of	IN	O	of	_	0	5	['P1,1060 611 1103 659']

1	PETROLEUM	PETROLEUM	NN	O	petroleum	nn	2	6	['P1,486 718 1034 780']
2	GEOLOGISTS	GEOLOGISTS	NNS	O	geologist	_	0	6	['P1,1111 720 1671 781']

1	THE	THE	DT	O	the	det	3	7	['P1,740 949 833 981']
2	EDMONTON	EDMONTON	NNP	LOCATION	EDMONTON	nn	3	7	['P1,856 949 1110 983']
3	FORMATION	FORMATION	NNP	O	FORMATION	_	0	7	['P1,1130 949 1418 983']
4	?		IN	O	?	amod	3	7	['P1,1130 949 1418 983']

1	J.	J.	NNP	O	J.	nn	3	8	['P1,967 1005 1000 1038']
2	R.	R.	NNP	O	R.	nn	3	8	['P1,1023 1006 1062 1038']
3	OWER	OwER	NNP	O	OWER	_	0	8	['P1,1086 1006 1191 1038']

1	California	California	NNP	ORGANIZATION	California	nn	3	9	['P1,788 1055 966 1083']
2	Standard	Standard	NNP	ORGANIZATION	Standard	nn	3	9	['P1,978 1055 1140 1085']
3	Co.	Co.	NNP	ORGANIZATION	Co.	_	0	9	['P1,1154 1056 1215 1089']
4	,	,	,	O	,	_	0	9	['P1,1154 1056 1215 1089']
5	Calgary	Calgary	NNP	LOCATION	Calgary	appos	3	9	['P1,1230 1056 1370 1090']

1	ABSTRACT	ABSTRACT	NN	O	abstract	_	0	10	['P1,1004 1119 1152 1142']

1	The	The	DT	O	the	det	2	11	['P1,368 1152 436 1181']
2	writer	writer	NN	O	writer	nsubj	3	11	['P1,461 1153 572 1181']
