1	CRETACEOUS	CRETACEOUS	NNP	O	CRETACEOUS	nn	3	1	['P1,1634 152 2126 210']
2	RE	RE	NNP	O	RE	nn	3	1	['P1,1827 230 1892 258']
3	SEARCH	SEARCH	NNP	O	SEARCH	_	0	1	['P1,1908 229 2123 258']

1	Cretaceous	Cretaceous	JJ	ORGANIZATION	cretaceous	amod	2	2	['P1,795 306 951 331']
2	Research	Research	NN	ORGANIZATION	research	_	0	2	['P1,964 306 1092 331']
3	24	24	CD	NUMBER	24	number	4	2	['P1,1105 307 1137 330']
4	(	(	CD	NUMBER	(	dep	2	2	['P1,1149 306 1236 337']
5	2003	2003	CD	DATE	2003	num	6	2	['P1,1149 306 1236 337']
6	)	)	NN	O	)	dep	4	2	['P1,1149 306 1236 337']
7	715	715	CD	NUMBER	715	num	8	2	['P1,1249 306 1363 331']
8	?	?	NN	O	?	dep	4	2	['P1,1249 306 1363 331']
9	728	??728	CD	NUMBER	728	dep	2	2	['P1,1249 306 1363 331']

1	The	The	DT	O	the	det	2	3	['P1,111 413 225 465']
2	Upper	Upper	NNP	O	Upper	nsubj	3	3	['P1,252 415 444 479']
3	Jurassic	Jurassic	JJ	O	jurassic	_	0	3	['P1,469 413 935 465']
4	.	?	.	O	.	_	0	3	['P1,469 413 935 465']

1	?	?	NN	O	?	_	0	4	['P1,469 413 935 465']
2	.	?	.	O	.	_	0	4	['P1,469 413 935 465']

1	Lower	Lower	JJR	O	lower	_	0	5	['P1,469 413 935 465']
2	Cretaceous	Cretaceous	JJ	O	cretaceous	dep	1	5	['P1,962 414 1292 465']
3	of	of	IN	O	of	_	0	5	['P1,1321 413 1386 465']
4	eastern	eastern	JJ	O	eastern	amod	5	5	['P1,1405 420 1617 465']
5	Heilongjiang	Heilongjiang	NNP	LOCATION	Heilongjiang	prep_of	2	5	['P1,1644 413 2045 479']
6	,	,	,	O	,	_	0	5	['P1,1644 413 2045 479']

1	northeast	northeast	RB	O	northeast	advmod	2	6	['P1,218 495 501 547']
2	China	China	NNP	LOCATION	China	_	0	6	['P1,528 495 722 547']
3	:	:	:	O	:	_	0	6	['P1,528 495 722 547']
4	stratigraphy	stratigraphy	NN	O	stratigraphy	nn	8	6	['P1,755 495 1118 561']
5	and	and	CC	O	and	_	0	6	['P1,1145 495 1255 547']
6	regional	regional	JJ	O	regional	nn	8	6	['P1,1281 495 1523 561']
7	basin	basin	NN	O	basin	nn	8	6	['P1,1549 495 1706 547']
8	history	history	NN	O	history	dep	2	6	['P1,1732 495 1941 561']

1	J	J	NN	O	j	nn	3	7	['P1,150 630 172 668']
2	ingeng	ingeng	NN	O	ingeng	nn	3	7	['P1,174 628 324 679']
