X  ACTAPALAEONTOLOGICA  PALAE0NT0L00ICAACTA ['P1,333 81 1362 102']
                   Vol                  Vol ['P1,333 137 387 156']
                     .                    . ['P1,333 137 387 156']
                    25                   25 ['P1,404 138 428 156']
                    19                   19 ['P1,1038 137 1071 155']
                     8                    8 ['P1,1082 137 1093 155']
X                    o                    0 ['P1,1105 137 1115 154']
X                  NO.                  No. ['P1,1751 137 1797 156']
                     2                    2 ['P1,1813 138 1824 155']
X             POLONICA             P0L0NICA ['P1,1433 81 1823 101']
X            RINCI-IEN             RIiVCHEN ['P1,618 232 791 256']
              BARSBOLD             BARSBOLD ['P1,816 231 1025 256']
                   and                  and ['P1,1046 231 1106 256']
            ALTANGEREL           ALTANGEREL ['P1,1130 231 1393 256']
.                    .                      ['P1,1130 231 1393 256']
                 PERLE                PERLE ['P1,1416 231 1538 256']
           SEGNOSAURIA          SEGNOSAURIA ['P1,437 331 778 368']
                     ,                    , ['P1,437 331 778 368']
                     A                    A ['P1,801 332 831 361']
                   NEW                  NEW ['P1,853 331 956 361']
            INFRAORDER           INFRAORDER ['P1,980 331 1281 361']
                    OF                   OF ['P1,1302 331 1360 362']
           CARNIVOROUS          CARNIVOROUS ['P1,1383 331 1717 362']
             DINOSAURS            DINOSAURS ['P1,940 384 1208 414']
              BARSBOLD             BARSBOLD ['P1,439 490 625 513']
                     ,                    , ['P1,439 490 625 513']
                    R.                   R. ['P1,643 491 671 509']
                   and                  and ['P1,688 490 740 508']
                 PERLE                PERLE ['P1,758 490 870 513']
                     ,                    , ['P1,758 490 870 513']
                    A.                   A. ['P1,887 491 917 508']
                  1980                 1980 ['P1,935 490 993 508']
                     .                    . ['P1,935 490 993 508']
           Segnosauria          Segnosauria ['P1,1012 489 1200 513']
                     ,                    , ['P1,1012 489 1200 513']
                     a                    a ['P1,1218 494 1231 508']
                   new                  new ['P1,1250 494 1308 509']
            infraorder           infraorder ['P1,1326 489 1479 508']
                    of                   of ['P1,1497 490 1524 508']
           carnivorous          carnivorous ['P1,1542 489 1717 508']
             dinosaurs            dinosaurs ['P1,439 524 587 543']
                     .                    . ['P1,439 524 587 543']
                  Acta                 Acta ['P1,607 525 671 543']
              Palaeont             Palaeont ['P1,692 524 827 543']
                     .                    . ['P1,692 524 827 543']
