1	Available	Available	JJ	O	available	amod	2	1	['P1,660 81 811 110']
2	online	online	NN	O	online	_	0	1	['P1,821 81 925 110']
3	at	at	IN	O	at	_	0	1	['P1,935 85 966 110']
4	www.sciencedirect.com	www.sciencedirect.corn	NNP	O	www.sciencedirect.com	prep_at	2	1	['P1,976 81 1371 110']

1	EARTH-SCIENCE	EARTH-SCIENCE	NN	O	earth-science	_	0	2	['P1,1757 121 1948 138']

1	REVIEWS	REVIEWS	NNS	O	review	_	0	3	['P1,1800 272 1905 289']

1	.4		NN	NUMBER	.4	_	0	4	['P1,149 260 185 278']
2	;		:	O	;	_	0	4	['P1,149 260 185 278']
3	JLE3		NN	O	jle3	nn	4	4	['P1,204 259 254 278']
4	o		NN	O	o	dep	1	4	['P1,323 261 353 273']
5	+		CC	O	+	_	0	4	['P1,323 261 353 273']
6	ELSEVIE	ELSEVIE	NNP	O	ELSEVIE	nn	8	4	['P1,138 296 324 329']
7	Earth-Science	Earth-Science	NNP	O	Earth-Science	nn	8	4	['P1,741 304 923 328']
8	Reviews	Reviews	NNP	O	Reviews	conj_+	4	4	['P1,935 304 1047 328']
9	69	69	CD	NUMBER	69	number	10	4	['P1,1060 304 1090 328']
10	(	(	CD	NUMBER	(	num	11	4	['P1,1104 304 1190 334']
11	2005	2005	CD	DATE	2005	dep	8	4	['P1,1104 304 1190 334']
12	)	)	CD	NUMBER	)	num	13	4	['P1,1104 304 1190 334']
13	27-77	27???77	CD	NUMBER	27-77	dep	8	4	['P1,1202 304 1291 328']

1	www.elsevier.com/locate/earscirev	www.elsevier.corn/locate/earscirev	NN	O	www.elsevier.com/locate/earscirev	_	0	5	['P1,1570 339 2026 363']

1	Upper	Upper	NNP	O	Upper	nn	3	6	['P1,158 440 334 503']
2	Permian	Permian	NNP	O	Permian	nn	3	6	['P1,358 438 588 489']
3	Vertebrates	vertebrates	NNPS	O	Vertebrates	_	0	6	['P1,613 438 915 489']
4	and	and	CC	O	and	_	0	6	['P1,943 438 1043 489']
5	their	their	PRP$	O	they	poss	7	6	['P1,1066 438 1194 489']
6	sedimentological	sedimentological	JJ	O	sedimentological	amod	7	6	['P1,1220 438 1692 503']
7	context	context	NN	O	context	conj_and	3	6	['P1,1720 445 1924 489']
8	in	in	IN	O	in	_	0	6	['P1,1949 438 2001 488']
9	the	the	DT	O	the	det	11	6	['P1,742 521 826 571']
10	South	South	NNP	O	South	nn	11	6	['P1,855 521 1015 572']
11	Urals	Urals	NNS	O	ural	prep_in	3	6	['P1,1038 521 1203 582']
12	,	,	,	O	,	_	0	6	['P1,1038 521 1203 582']
13	Russia	Russia	NNP	LOCATION	Russia	appos	11	6	['P1,1231 521 1417 571']

1	Valentin	Valentin	NNP	PERSON	Valentin	nn	3	7	['P1,270 654 448 693']
2	P.	P.	NNP	PERSON	P.	nn	3	7	['P1,467 656 500 693']
3	Tverdokhlebova	Tverdokhlebov'	NNP	PERSON	Tverdokhlebova	_	0	7	['P1,524 651 878 701']
4	,	,	,	O	,	_	0	7	['P1,524 651 878 701']
5	Galina	Galina	NNP	PERSON	Galina	nn	7	7	['P1,901 654 1041 693']
6	I.	I.	NNP	PERSON	I.	nn	7	7	['P1,1060 656 1086 693']
7	Tverdokhlebovaa	Tverdokhlebova'	NNP	PERSON	Tverdokhlebovaa	dep	3	7	['P1,1109 651 1488 701']
8	,	,	,	O	,	_	0	7	['P1,1109 651 1488 701']
9	Alla	Alla	NNP	PERSON	Alla	nn	11	7	['P1,1509 654 1601 693']
