1	Records	Records	NNP	O	Records	nn	5	1	['P1,141 217 242 242']
2	ofthc	ofthe	NN	O	ofthc	nn	5	1	['P1,253 216 325 251']
3	Wrsterri	Western	NNP	O	Wrsterri	nn	5	1	['P1,338 218 445 243']
4	Australian	Austrtxtinrx	NNP	MISC	Australian	nn	5	1	['P1,457 218 601 243']
5	Mtrseiiriz	Mtiseurtt	NNP	O	Mtrseiiriz	_	0	1	['P1,613 219 730 244']
6	17	17	CD	NUMBER	17	num	5	1	['P1,743 220 781 243']
7	:	:	:	O	:	_	0	1	['P1,743 220 781 243']
8	143-146	143???146	CD	NUMBER	143-146	number	9	1	['P1,795 219 912 243']
9	(	{	CD	NUMBER	(	dep	5	1	['P1,924 218 1020 249']
10	1995	1995	CD	DATE	1995	num	11	1	['P1,924 218 1020 249']
11	)	)	NN	O	)	dep	9	1	['P1,924 218 1020 249']
12	.	.	.	O	.	_	0	1	['P1,924 218 1020 249']

1	A	A	DT	O	a	det	3	2	['P1,176 344 213 380']
2	theropod	theropod	JJ	O	theropod	amod	3	2	['P1,229 342 446 394']
3	dinosaur	dinosaur	NN	O	dinosaur	_	0	2	['P1,462 343 676 382']
4	bone	bone	NN	O	bone	dep	3	2	['P1,689 343 807 382']
5	from	from	IN	O	from	_	0	2	['P1,823 342 936 381']
6	the	the	DT	O	the	det	10	2	['P1,953 341 1024 380']
7	Late	Late	JJ	O	late	amod	10	2	['P1,1040 343 1139 380']
8	Cretaceous	Cretaceous	JJ	O	cretaceous	amod	10	2	['P1,1154 342 1412 380']
9	Molecap	Molecap	NNP	PERSON	Molecap	nn	10	2	['P1,1427 339 1631 389']
10	Greensand	Greensand	NNP	PERSON	Greensand	prep_from	4	2	['P1,1648 336 1916 382']
11	,	,	,	O	,	_	0	2	['P1,1648 336 1916 382']

1	Western	Western	JJ	O	western	amod	2	3	['P1,840 404 1028 441']
2	Australia	Australia	NNP	LOCATION	Australia	_	0	3	['P1,1046 401 1263 440']
3	john	John	NN	O	john	nn	4	3	['P1,937 570 1017 605']
4	A.	A.	NN	O	a.	dep	2	3	['P1,1030 571 1067 597']
5	Long	Long	NNP	O	Long	dep	2	3	['P1,1080 571 1167 606']

1	Department	Department	NNP	ORGANIZATION	Department	_	0	4	['P1,322 628 506 662']
2	of	of	IN	ORGANIZATION	of	_	0	4	['P1,516 628 545 653']
3	Earth	Earth	NNP	ORGANIZATION	Earth	nn	6	4	['P1,556 628 637 653']
4	and	and	CC	ORGANIZATION	and	_	0	4	['P1,649 628 703 653']
5	Planetary	Planetary	NNP	ORGANIZATION	Planetary	nn	6	4	['P1,717 628 858 662']
6	Sciences	Sciences	NNPS	ORGANIZATION	Sciences	prep_of	1	4	['P1,869 628 1000 655']
7	,	,	,	O	,	_	0	4	['P1,869 628 1000 655']
8	Western	Western	NNP	MISC	Western	nn	10	4	['P1,1012 627 1135 652']
9	Australian	Australian	NNP	MISC	Australian	nn	10	4	['P1,1146 625 1304 652']
10	Museum	Museum	NNP	O	Museum	appos	6	4	['P1,1316 626 1455 653']
11	,	,	,	O	,	_	0	4	['P1,1316 626 1455 653']
12	Francis	Francis	NNP	PERSON	Francis	nn	13	4	['P1,1468 625 1574 649']
13	Street	Street	NNP	PERSON	Street	appos	10	4	['P1,1585 624 1678 652']
14	,	,	,	O	,	_	0	4	['P1,1585 624 1678 652']
15	Perth	I'ert	NNP	LOCATION	Perth	appos	10	4	['P1,1690 622 1776 651']
16	,	h,	,	O	,	_	0	4	['P1,1690 622 1776 651']

1	Western	Western	JJ	O	western	amod	2	5	['P1,879 669 1001 694']
2	Australia	Australia	NNP	LOCATION	Australia	_	0	5	['P1,1013 668 1149 693']
3	6000	6000	CD	NUMBER	6000	dep	2	5	['P1,1161 669 1227 693']

1	Abstract	Abstract	JJ	O	abstract	_	0	6	['P1,469 855 599 881']
2	-	???	:	O	-	_	0	6	['P1,612 870 629 872']
3	A	A	NN	O	a	dep	1	6	['P1,641 856 664 880']
4	proximal	proximal	JJ	O	proximal	amod	6	6	['P1,679 855 815 890']
5	pedal	pedal	NN	O	pedal	nn	6	6	['P1,829 855 911 889']
6	phalanx	phalanx	NN	O	phalanx	nsubjpass	12	6	['P1,924 854 1044 889']
7	from	from	IN	O	from	_	0	6	['P1,1059 854 1129 879']
8	a	a	DT	O	a	det	10	6	['P1,1143 862 1156 879']
9	theropod	theropod	JJ	O	theropod	amod	10	6	['P1,1172 853 1307 888']
10	dinosaur	dinosaur	NN	O	dinosaur	prep_from	6	6	['P1,1322 853 1455 878']
11	is	is	VBZ	O	be	auxpass	12	6	['P1,1469 854 1489 877']
12	recorded	recorded	VBN	O	record	rcmod	3	6	['P1,1503 850 1635 877']
13	from	from	IN	O	from	_	0	6	['P1,469 893 540 919']
14	the	the	DT	O	the	det	18	6	['P1,554 893 600 919']
15	Late	Late	JJ	O	late	amod	18	6	['P1,613 894 676 919']
16	Cretaceous	Cretaceous	JJ	O	cretaceous	amod	18	6	['P1,688 894 855 919']
17	Molecap	Molecap	NNP	PERSON	Molecap	nn	18	6	['P1,868 893 995 927']
