       Palaeogeography      Palaeogeography ['P1,306 85 591 118']
                     ,                    , ['P1,306 85 591 118']
     Palaeoclimatology    Palaeoclimatology ['P1,606 85 918 118']
                     ,                    , ['P1,606 85 918 118']
         Palaeoecology        Palaeoecology ['P1,935 84 1179 118']
                     ,                    , ['P1,935 84 1179 118']
                    27                   27 ['P1,1196 84 1360 119']
                     (                    ( ['P1,1196 84 1360 119']
                  1979                 1979 ['P1,1196 84 1360 119']
                     )                    ) ['P1,1196 84 1360 119']
                     :                    : ['P1,1196 84 1360 119']
X          189-246 139         189???246189 ['P1,1752 81 1810 108', 'P1,1380 85 1532 113']
X                    ?                   Oc ['P1,308 125 337 156']
              Elsevier             Elsevier ['P1,348 129 475 156']
            Scientific           Scientific ['P1,489 128 643 156']
            Publishing           Publishing ['P1,657 128 828 161']
               Company              Company ['P1,840 129 1009 162']
                     ,                    , ['P1,840 129 1009 162']
             Amsterdam            Amsterdam ['P1,1025 128 1213 155']
X                    ~                  ??? ['P1,1226 139 1256 143']
               Printed              Printed ['P1,1265 127 1385 154']
                    in                   in ['P1,1400 128 1428 154']
                   The                  The ['P1,1442 127 1504 155']
           Netherlands          Netherlands ['P1,1518 127 1717 155']
             EVOLUTION            EVOLUTION ['P1,309 238 588 278']
                     ,                    , ['P1,309 238 588 278']
            SUCCESSION           SUCCESSION ['P1,605 237 884 271']
                   AND                  AND ['P1,898 237 996 270']
           REPLACEMENT          REPLACEMENT ['P1,1012 237 1347 270']
                    IN                   IN ['P1,1362 237 1410 269']
                   THE                  THE ['P1,1424 237 1513 269']
                  TYPE                 TYPE ['P1,1528 237 1644 270']
                 UPPER                UPPER ['P1,1660 237 1803 270']
               CARADOC              CARADOC ['P1,309 289 532 323']
                     (                    ( ['P1,547 289 874 331']
            ORDOVICIAN           ORDOVICIAN ['P1,547 289 874 331']
                     )                    ) ['P1,547 289 874 331']
               BENTHIC              BENTHIC ['P1,890 289 1088 321']
                FAUNAS               FAUNAS ['P1,1109 289 1293 322']
                    OF                   OF ['P1,1308 290 1369 323']
               ENGLAND              ENGLAND ['P1,1384 291 1606 323']
                  JOHN                 JOHN ['P1,308 406 411 433']
                    M.                   M. ['P1,424 407 461 434']
                 HURST                HURST ['P1,478 406 610 433']
             Grenlands            Grenlands ['P1,309 464 479 492']
            Geologiske           Geologiske ['P1,493 464 672 496']
X         Undersogelse         Undersegelse ['P1,689 464 906 497']
                     ,                    , ['P1,689 464 906 497']
X                aster                Aster ['P1,922 464 1012 492']
              Voldgade             Voldgade ['P1,1029 464 1180 497']
                    10                   10 ['P1,1195 465 1240 495']
                     ,                    , ['P1,1195 465 1240 495']
               DK-1350              DK-1350 ['P1,1258 464 1408 491']
            Copenhagen           Copenhagen ['P1,1423 464 1623 497']
                     K                    K ['P1,1638 464 1665 490']
                     (                    ( ['P1,1680 465 1855 498']
               Denmark              Denmark ['P1,1680 465 1855 498']
                     )                    ) ['P1,1680 465 1855 498']
                     (                    ( ['P1,310 510 472 543']
              Received             Received ['P1,310 510 472 543']
                  June                 June ['P1,485 509 562 536']
                     1                    1 ['P1,576 511 602 542']
                     ,                    , ['P1,576 511 602 542']
                  1978                 1978 ['P1,619 510 713 540']
                     ;                    ; ['P1,619 510 713 540']
               revised              revised ['P1,726 510 839 536']
               version              version ['P1,849 510 966 536']
              accepted             accepted ['P1,981 510 1125 542']
               January              January ['P1,1136 510 1265 542']
                    16                   16 ['P1,1284 511 1333 541']
                     ,                    , ['P1,1284 511 1333 541']
                  1979                 1979 ['P1,1350 511 1446 543']
                     )                    ) ['P1,1350 511 1446 543']
              ABSTRACT             ABSTRACT ['P1,310 618 516 645']
                 Hurst                Hurst ['P1,312 703 410 737']
                     ,                    , ['P1,312 703 410 737']
                    J.                   J. ['P1,424 703 446 731']
                    M.                   M. ['P1,464 703 513 735']
                     ,                    , ['P1,464 703 513 735']
                  1979                 1979 ['P1,530 703 622 730']
                     .                    . ['P1,530 703 622 730']
             Evolution            Evolution ['P1,638 703 808 736']
                     ,                    , ['P1,638 703 808 736']
            succession           succession ['P1,822 704 992 731']
                   and                  and ['P1,1006 704 1064 730']
           replacement          replacement ['P1,1077 703 1280 736']
                    in                   in ['P1,1292 703 1322 730']
                   the                  the ['P1,1336 703 1385 731']
                  type                 type ['P1,1399 705 1471 737']
                 upper                upper ['P1,1483 711 1579 736']
               Caradoc              Caradoc ['P1,1593 703 1724 731']
                     (                    ( ['P1,360 744 568 779']
            Ordovician           Ordovician ['P1,360 744 568 779']
                     )                    ) ['P1,360 744 568 779']
               benthic              benthic ['P1,582 745 705 771']
                faunas               faunas ['P1,719 745 824 772']
                    of                   of ['P1,836 744 871 771']
               England              England ['P1,885 744 1026 777']
                     .                    . ['P1,885 744 1026 777']
X         Palaeogeogr.         Palaeogeogr, ['P1,1041 745 1255 778']
                     ,                    , ['P1,1041 745 1255 778']
       Palaeoclimatol.      Palaeoclimatol. ['P1,1269 745 1531 777']
                     ,                    , ['P1,1269 745 1531 777']
           Palaeoecol.          Palaeoecol. ['P1,1545 745 1739 777']
                     ,                    , ['P1,1545 745 1739 777']
                    27                   27 ['P1,362 787 411 813']
                     :                    : ['P1,362 787 411 813']
X              189-246              189???2 ['P1,430 787 592 814']
X                    .                  46. ['P1,430 787 592 814']
              Measured             Measured ['P1,360 870 516 898']
              sections             sections ['P1,527 871 659 898']
               through              through ['P1,672 870 801 903']
                 rocks                rocks ['P1,815 870 903 897']
                    of                   of ['P1,915 870 951 896']
                   the                  the ['P1,963 870 1013 897']
                  type                 type ['P1,1027 873 1099 903']
                 upper                upper ['P1,1112 878 1207 903']
               Caradoc              Caradoc ['P1,1220 870 1353 898']
                Series               Series ['P1,1368 871 1461 898']
                  show                 show ['P1,1473 871 1557 898']
                     a                    a ['P1,1571 880 1587 898']
            succession           succession ['P1,1598 871 1768 898']
                    of                   of ['P1,1782 870 1816 897']
                 seven                seven ['P1,309 919 397 939']
           terrigenous          terrigenous ['P1,411 911 596 943']
                 shelf                shelf ['P1,607 910 686 937']
                facies               facies ['P1,698 910 789 938']
                  with                 with ['P1,803 911 875 938']
            decreasing           decreasing ['P1,889 911 1059 944']
              sediment             sediment ['P1,1069 911 1220 938']
                 grain                grain ['P1,1232 912 1311 944']
                  size                 size ['P1,1324 913 1392 944']
                     ,                    , ['P1,1324 913 1392 944']
            increasing           increasing ['P1,1407 912 1569 944']
          bioturbation         bioturbation ['P1,1581 912 1790 939']
                   and                  and ['P1,309 952 368 979']
              sediment             sediment ['P1,380 952 531 978']
                  clay                 clay ['P1,542 952 607 983']
               content              content ['P1,621 953 749 978']
                   and                  and ['P1,761 951 820 978']
              decrease             decrease ['P1,835 952 970 978']
                    in                   in ['P1,984 952 1013 978']
             thickness            thickness ['P1,1027 951 1178 979']
                    of                   of ['P1,1192 951 1227 978']
       storm-deposited      storm-deposited ['P1,1237 952 1504 984']
                  beds                 beds ['P1,1517 952 1589 979']
                    of                   of ['P1,1603 951 1639 978']
             laminated            laminated ['P1,1648 952 1811 980']
                  sand                 sand ['P1,312 993 386 1019']
                   and                  and ['P1,399 993 458 1019']
                  silt                 silt ['P1,470 993 518 1019']
                  with                 with ['P1,531 991 604 1018']
                shelly               shelly ['P1,616 992 710 1023']
              coquinas             coquinas ['P1,723 993 875 1025']
                     .                    . ['P1,723 993 875 1025']
                  This                 This ['P1,892 992 961 1020']
             indicates            indicates ['P1,974 993 1118 1020']
                    an                   an ['P1,1132 1001 1168 1021']
         environmental        environmental ['P1,1180 993 1418 1020']
              gradient             gradient ['P1,1431 993 1565 1026']
                    of                   of ['P1,1578 993 1613 1020']
               general              general ['P1,1624 993 1740 1026']
             deepening            deepening ['P1,310 1035 477 1067']
                 which                which ['P1,489 1034 587 1061']
                    is                   is ['P1,600 1034 623 1061']
               locally              locally ['P1,636 1033 743 1067']
           interrupted          interrupted ['P1,759 1034 946 1067']
        geographically       geographically ['P1,960 1034 1205 1067']
                     ,                    , ['P1,960 1034 1205 1067']
                    in                   in ['P1,1220 1034 1249 1061']
                   the                  the ['P1,1263 1034 1312 1062']
              Actonian             Actonian ['P1,1328 1034 1488 1068']
                     ,                    , ['P1,1328 1034 1488 1068']
                  with                 with ['P1,1502 1034 1575 1062']
                   the                  the ['P1,1588 1034 1639 1062']
             formation            formation ['P1,1653 1034 1817 1063']
                    of                   of ['P1,310 1077 345 1103']
                     a                    a ['P1,356 1086 372 1103']
                  thin                 thin ['P1,385 1076 451 1103']
              proximal             proximal ['P1,464 1076 613 1109']
            calcareous           calcareous ['P1,625 1076 796 1103']
             sandstone            sandstone ['P1,808 1076 970 1104']
                  unit                 unit ['P1,983 1077 1058 1104']
                     .                    . ['P1,983 1077 1058 1104']
                   The                  The ['P1,1073 1076 1135 1103']
             Laminated            Laminated ['P1,1149 1076 1325 1103']
                 Shale                Shale ['P1,1341 1075 1427 1103']
                Facies               Facies ['P1,1441 1075 1542 1102']
                 which                which ['P1,1552 1076 1650 1103']
                    is                   is ['P1,1663 1077 1686 1104']
            restricted           restricted ['P1,1699 1077 1854 1104']
                    to                   to ['P1,309 1121 342 1145']
              offshore             offshore ['P1,355 1117 494 1145']
                 areas                areas ['P1,507 1126 587 1145']
                   may                  may ['P1,600 1125 668 1150']
              indicate             indicate ['P1,683 1118 812 1144']
             upwelling            upwelling ['P1,825 1117 985 1150']
               centres              centres ['P1,998 1119 1122 1150']
                     ,                    , ['P1,998 1119 1122 1150']
                 which                which ['P1,1138 1116 1235 1144']
                result               result ['P1,1248 1116 1339 1144']
                    in                   in ['P1,1352 1118 1381 1143']
                bottom               bottom ['P1,1395 1117 1517 1144']
                oxygen               oxygen ['P1,1530 1124 1650 1149']
             depletion            depletion ['P1,1664 1117 1818 1149']
                   and                  and ['P1,310 1159 369 1186']
                  thus                 thus ['P1,381 1158 452 1185']
                   low                  low ['P1,463 1159 523 1185']
               benthic              benthic ['P1,537 1157 659 1185']
             densities            densities ['P1,673 1158 813 1185']
                   and                  and ['P1,826 1157 885 1185']
           diversities          diversities ['P1,898 1157 1069 1184']
                     .                    . ['P1,898 1157 1069 1184']
