            CRETACEOUS           CRETACEOUS ['P1,1634 152 2126 210']
.                    f                      ['P1,201 206 221 276']
.                    +                      ['P1,201 206 221 276']
              RESEARCH             RESEARCH ['P1,1827 229 2123 258']
.                    -                      ['P1,46 269 104 288']
.                    '                      ['P1,46 269 104 288']
.                  1L?                      ['P1,46 269 104 288']
.                  1Zf                      ['P1,201 270 257 288']
.                    _                      ['P1,201 270 257 288']
.                    ?                      ['P1,201 270 257 288']
.                    :                      ['P1,201 270 257 288']
.                    ?                      ['P1,201 270 257 288']
.                    .                      ['P1,201 270 257 288']
                   ELS                  ELS ['P1,37 306 118 338']
                 EVIER                EVIER ['P1,124 307 265 338']
            Cretaceous           Cretaceous ['P1,795 306 951 331']
              Research             Research ['P1,964 306 1092 331']
                    24                   24 ['P1,1105 307 1137 330']
                     (                    ( ['P1,1149 306 1236 337']
                  2003                 2003 ['P1,1149 306 1236 337']
                     )                    ) ['P1,1149 306 1236 337']
X               487497            487???497 ['P1,1248 306 1363 331']
              Dinosaur             Dinosaur ['P1,147 413 429 465']
               remains              remains ['P1,455 413 688 465']
                  from                 from ['P1,715 413 861 465']
                   the                  the ['P1,887 413 977 465']
                 Lower                Lower ['P1,1005 415 1197 465']
            Cretaceous           Cretaceous ['P1,1224 414 1554 465']
                    of                   of ['P1,1583 413 1648 465']
                   the                  the ['P1,1667 413 1758 465']
                Chubut               Chubut ['P1,1786 413 2012 465']
                 Group                Group ['P1,807 496 1022 561']
                     ,                    , ['P1,807 496 1022 561']
             Argentina            Argentina ['P1,1050 495 1353 561']
                Oliver               Oliver ['P1,79 628 219 668']
                  W.M.                 W.M. ['P1,237 630 370 668']
X             Rauhuta1             Rauhut'* ['P1,389 621 648 676']
X                    *                    , ['P1,389 621 648 676']
.                    ,                      ['P1,389 621 648 676']
               Gerardo              Gerardo ['P1,671 628 863 668']
X             Claderaa             Cladera, ['P1,881 628 1097 676']
.                    ,                      ['P1,881 628 1097 676']
              Patricia             Patricia ['P1,1120 628 1297 668']
X        Vickers-Richb        Vickers-Rich, ['P1,1311 620 1649 676']
.                    ,                      ['P1,1311 620 1649 676']
                Thomas               Thomas ['P1,1672 628 1857 668']
                    H.                   H. ['P1,1878 630 1932 668']
                  Rich                 Rich ['P1,1951 628 2081 668']
X                    ?                    ' ['P1,1951 628 2081 668']
X                    "                    ' ['P1,460 724 567 749']
X                    ?                    M ['P1,460 724 567 749']
X                Museo                 useo ['P1,460 724 567 749']
X       Paleontol?gico       Paleontologico ['P1,580 724 784 755']
X                    ?                    ' ['P1,800 724 895 755']
                Egidio               Egidio ['P1,800 724 895 755']
              Feruglio             Feruglio ['P1,907 724 1036 755']
X                    ?                    ' ['P1,907 724 1036 755']
                     ,                    , ['P1,907 724 1036 755']
               Fontana              Fontana ['P1,1051 725 1165 749']
X                  140                  l40 ['P1,1178 725 1232 752']
                     ,                    , ['P1,1178 725 1232 752']
X                 9100                 pl00 ['P1,1247 725 1313 749']
                Trelew               Trelew ['P1,1328 724 1425 752']
                     ,                    , ['P1,1328 724 1425 752']
                Chubut               Chubut ['P1,1443 724 1546 752']
                     ,                    , ['P1,1443 724 1546 752']
             Argentina            Argentina ['P1,1562 725 1699 755']
X                    '                    " ['P1,529 760 640 789']
X                   ?S                   Sc ['P1,529 760 640 789']
X                chool                 hool ['P1,529 760 640 789']
                    of                   of ['P1,651 765 683 796']
           Geosciences          Geosciences ['P1,692 766 858 793']
                     ,                    , ['P1,692 766 858 793']
                Monash               Monash ['P1,875 765 985 789']
            University           University ['P1,1002 766 1145 796']
                     ,                    , ['P1,1002 766 1145 796']
               Clayton              Clayton ['P1,1163 765 1275 796']
                     ,                    , ['P1,1163 765 1275 796']
              Victoria             Victoria ['P1,1296 766 1404 789']
                  3800                 3800 ['P1,1415 766 1487 793']
                     ,                    , ['P1,1415 766 1487 793']
             Australia            Australia ['P1,1502 765 1630 789']
X                    ?                    ' ['P1,63 805 171 830']
                School               School ['P1,63 805 171 830']
                    of                   of ['P1,182 805 214 837']
           Geosciences          Geosciences ['P1,223 806 389 834']
                     ,                    , ['P1,223 806 389 834']
                Monash               Monash ['P1,406 805 516 830']
            University           University ['P1,533 806 676 837']
                     ,                    , ['P1,533 806 676 837']
               Clayton              Clayton ['P1,694 805 806 837']
                     ,                    , ['P1,694 805 806 837']
              Victoria             Victoria ['P1,827 806 940 834']
                     ,                    , ['P1,827 806 940 834']
                  3800                 3800 ['P1,955 806 1027 834']
                     ,                    , ['P1,955 806 1027 834']
             Australia            Australia ['P1,1042 805 1170 830']
                   and                  and ['P1,1182 805 1233 830']
                Museum               Museum ['P1,1244 807 1361 830']
              Victoria             Victoria ['P1,1378 807 1491 834']
                     ,                    , ['P1,1378 807 1491 834']
                    PO                   PO ['P1,1507 806 1554 830']
                   Box                  Box ['P1,1566 807 1622 830']
                  666E                 666E ['P1,1634 806 1711 834']
                     ,                    , ['P1,1634 806 1711 834']
             Melbourne            Melbourne ['P1,1727 805 1881 834']
                     ,                    , ['P1,1727 805 1881 834']
              Victoria             Victoria ['P1,1902 806 2009 830']
X                 3001                 300l ['P1,2021 806 2092 834']
                     ,                    , ['P1,2021 806 2092 834']
             Australia            Australia ['P1,1015 847 1143 872']
              Accepted             Accepted ['P1,914 914 1045 945']
                    31                   31 ['P1,1058 914 1086 938']
                   May                  May ['P1,1102 915 1167 945']
                  2003                 2003 ['P1,1179 914 1243 938']
              Abstract             Abstract ['P1,32 1073 165 1100']
                  Some                 Some ['P1,83 1165 169 1192']
           fragmentary          fragmentary ['P1,186 1164 381 1199']
              dinosaur             dinosaur ['P1,398 1164 537 1192']
               remains              remains ['P1,553 1164 677 1192']
                  from                 from ['P1,694 1164 771 1192']
                   the                  the ['P1,788 1164 836 1192']
             uppermost            uppermost ['P1,853 1168 1022 1199']
           Hauterivian          Hauterivian ['P1,1039 1164 1417 1192']
X                    .                    ? ['P1,1039 1164 1417 1192']
                     ?                    ? ['P1,1039 1164 1417 1192']
X                    .                    ? ['P1,1039 1164 1417 1192']
             Barremian            Barremian ['P1,1039 1164 1417 1192']
                    La                   La ['P1,1435 1165 1477 1192']
                Paloma               Paloma ['P1,1493 1164 1614 1192']
                Member               Member ['P1,1631 1164 1765 1192']
                    of                   of ['P1,1782 1164 1816 1192']
                   the                  the ['P1,1830 1164 1877 1192']
                 Cerro                Cerro ['P1,1895 1165 1985 1192']
               Barcino              Barcino ['P1,2003 1164 2126 1192']
             Formation            Formation ['P1,33 1208 204 1236']
                    of                   of ['P1,220 1208 254 1236']
              northern             northern ['P1,265 1208 404 1236']
                Chubut               Chubut ['P1,419 1208 548 1242']
                     ,                    , ['P1,419 1208 548 1242']
             Argentina            Argentina ['P1,564 1208 724 1244']
                   are                  are ['P1,739 1217 786 1236']
             described            described ['P1,802 1208 958 1236']
                     .                    . ['P1,802 1208 958 1236']
              Together             Together ['P1,975 1208 1119 1244']
                  with                 with ['P1,1133 1208 1202 1236']
                   the                  the ['P1,1217 1208 1264 1236']
                 fauna                fauna ['P1,1279 1208 1369 1236']
                  from                 from ['P1,1384 1208 1461 1236']
                   the                  the ['P1,1476 1208 1523 1236']
                    La                   La ['P1,1539 1209 1581 1236']
                Amarga               Amarga ['P1,1595 1208 1724 1244']
             Formation            Formation ['P1,1739 1208 1911 1236']
                    of                   of ['P1,1926 1208 1961 1236']
X              Neuqu?n              Neuquen ['P1,1972 1209 2125 1244']
                     ,                    , ['P1,1972 1209 2125 1244']
             Argentina            Argentina ['P1,31 1254 200 1289']
                     ,                    , ['P1,31 1254 200 1289']
                  this                 this ['P1,219 1254 275 1282']
              material             material ['P1,292 1254 423 1282']
             represent            represent ['P1,441 1258 586 1289']
