1	NEW	NE%	NNP	O	NEW	nn	3	1	['P1,480 93 636 136']
2	CRETACEOUS	CRETACEOUS	NNP	O	CRETACEOUS	nn	3	1	['P1,664 87 1134 134']
3	GASTROPODA	GASTROPODA	NNP	O	GASTROPODA	_	0	1	['P1,1162 81 1646 129']

1	FROM	FROM	IN	O	from	_	0	2	['P1,728 173 929 216']
2	CALIFORNIA	CALIFORNIA	NNP	LOCATION	CALIFORNIA	pobj	1	2	['P1,959 167 1407 214']

1	by	bg	IN	O	by	_	0	3	['P1,719 295 768 341']
2	L.	L.	NNP	PERSON	L.	nn	4	3	['P1,786 304 821 331']
3	R.	R.	NNP	PERSON	R.	nn	4	3	['P1,837 304 875 330']
4	SAUL	SAUL	NNP	PERSON	SAUL	pobj	1	3	['P1,893 302 1010 330']
5	and	and	CC	O	and	_	0	3	['P1,1027 291 1106 329']
6	R.	R.	NNP	PERSON	R.	nn	8	3	['P1,1119 301 1158 327']
7	L.	L.	NNP	PERSON	L.	nn	8	3	['P1,1174 300 1210 327']
8	SQUIRES	SQUIRES	NNP	PERSON	SQUIRES	pobj	1	3	['P1,1227 297 1418 332']

1	ABSTRACT	AasritAc	NN	O	abstract	_	0	4	['P1,192 435 361 462']
2	.	T.	.	O	.	_	0	4	['P1,192 435 361 462']

1	Two	Two	CD	NUMBER	two	num	2	5	['P1,377 433 448 461']
2	genera	genera	NN	O	genus	nsubjpass	17	5	['P1,464 439 568 467']
3	of	of	IN	O	of	_	0	5	['P1,583 430 619 459']
4	subtropical	subtropical	JJ	O	subtropical	amod	10	5	['P1,630 428 809 464']
5	to	to	TO	O	to	_	0	5	['P1,823 432 855 456']
6	tropical	tropical	JJ	O	tropical	amod	9	5	['P1,870 426 1002 462']
7	,	,	,	O	,	_	0	5	['P1,870 426 1002 462']
8	nearshore-marine	nearshore-marine	JJ	O	nearshore-marine	amod	9	5	['P1,1017 423 1300 454']
9	nerineid	nerineid	NN	O	nerineid	prep_to	4	5	['P1,1314 421 1444 451']
10	gastropods	gastropods	NNS	O	gastropod	prep_of	2	5	['P1,1459 419 1643 457']
11	,	,	,	O	,	_	0	5	['P1,1459 419 1643 457']
12	Aphanoptyxis	Aphanoptyxis	NNPS	O	Aphanoptyxis	appos	2	5	['P1,1659 419 1875 454']
13	and	and	CC	O	and	_	0	5	['P1,1890 416 1949 445']
14	Nerinella	Nerinella	NNP	LOCATION	Nerinella	conj_and	12	5	['P1,193 475 345 508']
15	,	,	,	O	,	_	0	5	['P1,193 475 345 508']
16	are	are	VBP	O	be	auxpass	17	5	['P1,361 483 409 503']
17	recognized	recognized	VBN	O	recognize	_	0	5	['P1,423 472 594 509']
18	for	for	IN	O	for	_	0	5	['P1,608 471 656 500']
19	the	the	DT	O	the	det	21	5	['P1,670 471 718 499']
20	?rst	first	JJ	O	?rst	amod	21	5	['P1,733 470 794 498']
