               PALAIOS              PALAIOS ['P1,857 100 996 129']
                     ,                    , ['P1,857 100 996 129']
                  2006                 2006 ['P1,1007 100 1074 129']
                     ,                    , ['P1,1007 100 1074 129']
                    v.                   v. ['P1,1085 107 1106 124']
                    21                   21 ['P1,1118 100 1154 129']
                     ,                    , ['P1,1118 100 1154 129']
                    p.                   p. ['P1,1166 107 1188 130']
               480-492              480-492 ['P1,1200 100 1304 124']
.                    P                      ['P1,68 115 126 192']
.                    A                      ['P1,121 114 203 192']
.                    I                      ['P1,217 115 228 192']
.               p??E@+                      ['P1,276 114 396 192']
.                    o                      ['P1,403 114 479 194']
.                    S                      ['P1,490 114 541 194']
              Research             Research ['P1,973 150 1090 174']
               Article              Article ['P1,1101 150 1189 174']
X                  D01                  DOI ['P1,863 200 926 224']
                     :                    : ['P1,863 200 926 224']
               10.2110              10.2110 ['P1,940 200 1300 230']
                     /                    / ['P1,940 200 1300 230']
    palo.2005.P05-062R   palo.2005.P05-062R ['P1,940 200 1300 230']
           Emphasizing          Emphasizing ['P1,101 232 262 259']
                   the                  the ['P1,270 233 308 253']
                impact               impact ['P1,317 232 402 259']
                    of                   of ['P1,409 232 435 253']
                  life                 life ['P1,441 232 479 253']
                    on                   on ['P1,487 239 516 253']
                 Earth                Earth ['P1,215 267 307 287']
X                   ?s                   's ['P1,215 267 307 287']
               history              history ['P1,315 267 402 293']
            TAPHONOMIC           TAPHONOMIC ['P1,54 358 362 394']
              ANALYSIS             ANALYSIS ['P1,378 358 598 394']
                    OF                   OF ['P1,615 358 673 394']
                     A                    A ['P1,690 358 720 393']
              DINOSAUR             DINOSAUR ['P1,737 358 970 394']
               FEEDING              FEEDING ['P1,984 358 1182 394']
                  SITE                 SITE ['P1,1199 358 1297 394']
                 USING                USING ['P1,1313 358 1450 394']
            GEOGRAPHIC           GEOGRAPHIC ['P1,1467 358 1768 394']
           INFORMATION          INFORMATION ['P1,1784 358 2109 394']
               SYSTEMS              SYSTEMS ['P1,131 408 332 444']
                     (                    ( ['P1,350 408 463 452']
                   GIS                  GIS ['P1,350 408 463 452']
                     )                    ) ['P1,350 408 463 452']
                     ,                    , ['P1,350 408 463 452']
              MORRISON             MORRISON ['P1,479 408 723 444']
             FORMATION            FORMATION ['P1,739 408 1025 452']
                     ,                    , ['P1,739 408 1025 452']
              SOUTHERN             SOUTHERN ['P1,1042 408 1286 444']
               BIGHORN              BIGHORN ['P1,1301 408 1512 444']
                 BASIN                BASIN ['P1,1527 408 1671 452']
                     ,                    , ['P1,1527 408 1671 452']
               WYOMING              WYOMING ['P1,1686 408 1929 452']
                     ,                    , ['P1,1686 408 1929 452']
                   USA                  USA ['P1,1945 408 2031 444']
                 DEBRA                DEBRA ['P1,636 519 759 548']
                    S.                   S. ['P1,774 519 800 548']
              JENNINGS             JENNINGS ['P1,815 518 1019 548']
X                    ?                   "' ['P1,815 518 1019 548']
                   and                  and ['P1,1035 519 1087 548']
               STEPHEN              STEPHEN ['P1,1101 519 1260 548']
                    T.                   T. ['P1,1273 519 1297 548']
X           HASIOTISL2            HASIOTIS" ['P1,1313 518 1513 548']
X                    1                    ' ['P1,348 563 357 578']
            Department           Department ['P1,366 565 514 596']
                    of                   of ['P1,524 564 552 596']
               Geology              Geology ['P1,559 564 667 596']
                     ,                    , ['P1,559 564 667 596']
