1	ELSEVIER	ELSEVIER	NNP	ORGANIZATION	ELSEVIER	_	0	1	['P1,15 508 394 567']
2	Cretaceous	Cretaceous	JJ	ORGANIZATION	cretaceous	amod	3	1	['P1,1162 527 1414 567']
3	Research	Research	NNP	ORGANIZATION	Research	dep	1	1	['P1,1436 527 1645 567']
4	27	27	CD	NUMBER	27	number	5	1	['P1,1666 527 1719 567']
5	(	(	CD	NUMBER	(	num	6	1	['P1,1744 527 1892 576']
6	2006	2006	CD	DATE	2006	dep	3	1	['P1,1744 527 1892 576']
7	)	)	CD	NUMBER	)	num	8	1	['P1,1744 527 1892 576']
8	923-946	923???946	CD	NUMBER	923-946	dep	1	1	['P1,1914 527 2126 567']

1	Tetrapods	Tetrapods	NNS	O	tetrapod	dep	5	2	['P1,276 706 752 817']
2	from	from	IN	O	from	_	0	2	['P1,799 706 1034 791']
3	the	the	DT	O	the	det	4	2	['P1,1077 706 1223 791']
4	Upper	Upper	NNP	O	Upper	prep_from	1	2	['P1,1268 709 1572 817']
5	Cretaceous	Cretaceous	JJ	O	cretaceous	_	0	2	['P1,1616 707 2152 792']

1	CRETACEOUS	CRETACEOUS	NNS	O	cretaceous	_	0	3	['P1,970 1170 2145 1307']

1	RE	RE	VB	O	re	_	0	4	['P1,1431 1354 1587 1420']
2	SEARCH	SEARCH	NN	O	search	dobj	1	4	['P1,1627 1353 2138 1420']

1	wWW.elsevier.corn/locate/CretRes	www.elsevier.con/locate/CretRes	NNS	O	www.elsevier.corn/locate/cretres	_	0	5	['P1,1079 1629 2150 1684']

1	(	(	NN	O	(	_	0	6	['P1,7 1863 1774 2009']
2	Turonian	Turonian	NN	O	turonian	dep	1	6	['P1,7 1863 1774 2009']
3	.	?	.	O	.	_	0	6	['P1,7 1863 1774 2009']

1	?	?	NN	O	?	_	0	7	['P1,7 1863 1774 2009']
2	.	?	.	O	.	_	0	7	['P1,7 1863 1774 2009']

1	Maastrichtian	Maastrichtian	JJ	MISC	maastrichtian	amod	2	8	['P1,7 1863 1774 2009']
2	)	)	NN	O	)	_	0	8	['P1,7 1863 1774 2009']

1	Bauru	Bauru	NNP	LOCATION	Bauru	nn	2	9	['P1,548 2032 718 2080']
2	Group	Group	NNP	O	Group	_	0	9	['P1,745 2031 921 2095']
3	of	of	IN	O	of	_	0	9	['P1,949 2031 1009 2080']
4	Brazil	Brazil	NNP	LOCATION	Brazil	prep_of	2	9	['P1,1030 2031 1216 2080']
5	:	:	:	O	:	_	0	9	['P1,1030 2031 1216 2080']
6	a	a	DT	O	a	det	7	9	['P1,1248 2047 1277 2080']
7	reappraisal	reappraisal	NN	O	reappraisal	dep	2	9	['P1,1301 2031 1610 2095']

1	Carlos	Carlos	NNP	PERSON	Carlos	nn	4	10	['P1,446 2163 584 2201']
2	Roberto	Roberto	NNP	PERSON	Roberto	nn	4	10	['P1,604 2163 776 2201']
3	A.	A.	NNP	PERSON	A.	nn	4	10	['P1,797 2164 845 2201']
4	Candeiro	Candeiro	NNP	PERSON	Candeiro	_	0	10	['P1,868 2163 1063 2201']
5	a	'	DT	O	a	det	7	10	['P1,1079 2152 1173 2208']
6	?	'	NN	O	?	nn	7	10	['P1,1079 2152 1173 2208']
7	b	*	NN	O	b	dep	4	10	['P1,1079 2152 1173 2208']
8	?	,	CD	NUMBER	?	num	9	10	['P1,1079 2152 1173 2208']
9	*		NN	O	*	dep	7	10	['P1,1079 2152 1173 2208']
10	,		,	O	,	_	0	10	['P1,1079 2152 1173 2208']
11	Agustin	Agustin	NNP	PERSON	Agustin	nn	13	10	['P1,1195 2161 1364 2212']
12	G.	G.	NNP	PERSON	G.	nn	13	10	['P1,1385 2164 1432 2201']
13	Ma	Ma	NNP	PERSON	Ma	appos	9	10	['P1,1454 2160 1712 2208']
14	:	r	:	O	:	_	0	10	['P1,1454 2160 1712 2208']
15	rtine1li	tinelli'	NNS	O	rtine1lus	dep	13	10	['P1,1454 2160 1712 2208']
16	?	,	CD	NUMBER	?	dep	15	10	['P1,1454 2160 1712 2208']
17	,		,	O	,	_	0	10	['P1,1454 2160 1712 2208']

1	Leonardo	Leonardo	NNP	PERSON	Leonardo	nn	2	11	['P1,600 2225 806 2263']
2	S.	S.	NNP	PERSON	S.	nsubj	5	11	['P1,827 2225 865 2263']
3	Avilla	Avilla	NNP	PERSON	Avilla	dep	2	11	['P1,887 2225 1018 2263']
4	a	'	DT	O	a	dep	3	11	['P1,1032 2213 1118 2270']
5	?d	',	MD	O	?d	_	0	11	['P1,1032 2213 1118 2270']
6	?		VB	O	?	dep	5	11	['P1,1032 2213 1118 2270']
7	?		CD	NUMBER	?	dobj	6	11	['P1,1032 2213 1118 2270']
8	,		,	O	,	_	0	11	['P1,1032 2213 1118 2270']
9	Thomas	Thomas	NNP	PERSON	Thomas	nn	11	11	['P1,1139 2225 1311 2263']
10	H.	H.	NNP	PERSON	H.	nn	11	11	['P1,1332 2226 1379 2263']
11	Rich	Rich	NNP	PERSON	Rich	appos	7	11	['P1,1402 2225 1503 2263']
12	?g	'g	NN	O	?g	dep	11	11	['P1,1516 2213 1558 2246']

1	3	'	CD	NUMBER	3	num	4	12	['P1,239 2317 250 2327']
2	Laboratorio	Laboratorio	NNP	ORGANIZATION	Laboratorio	nn	4	12	['P1,258 2319 419 2342']
3	de	de	IN	ORGANIZATION	de	amod	4	12	['P1,431 2319 461 2342']
4	Macrofosseis	Macrofosseis	NNP	ORGANIZATION	Macrofosseis	nsubj	12	12	['P1,472 2319 655 2349']
5	,	,	,	O	,	_	0	12	['P1,472 2319 655 2349']
6	Departamento	Departamento	NNP	ORGANIZATION	Departamento	nn	8	12	['P1,666 2320 857 2349']
7	de	de	IN	ORGANIZATION	de	amod	8	12	['P1,869 2319 899 2342']
8	Geologia	Geologia	NNP	ORGANIZATION	Geologia	appos	4	12	['P1,912 2319 1040 2349']
9	,	,	,	O	,	_	0	12	['P1,912 2319 1040 2349']
10	Universidade	Universidade	NNP	O	Universidade	nn	11	12	['P1,1055 2319 1229 2343']
