                   528                  528 ['P1,31 114 107 148']
              RESEARCH             RESEARCH ['P1,1642 113 1896 148']
               REPORTS              REPORTS ['P1,1911 113 2131 148']
                     A                    A ['P1,81 247 142 303']
                  Late                 Late ['P1,156 248 318 304']
              Jurassic             Jurassic ['P1,335 247 639 304']
             Carbonate            Carbonate ['P1,659 247 1037 304']
                  Ramp                 Ramp ['P1,1055 248 1271 318']
             Colonized            Colonized ['P1,1291 247 1650 304']
                    by                   by ['P1,1665 247 1755 318']
               Sponges              Sponges ['P1,1775 247 2073 318']
                   and                  and ['P1,428 330 565 387']
               Benthic              Benthic ['P1,582 330 865 387']
             Microbial            Microbial ['P1,882 330 1230 387']
           Communities          Communities ['P1,1249 330 1730 387']
                     (                    ( ['P1,438 413 775 478']
              External             External ['P1,438 413 775 478']
              Prebetic             Prebetic ['P1,792 413 1114 483']
                     ,                    , ['P1,792 413 1114 483']
              Southern             Southern ['P1,1135 413 1471 470']
                 Spain                Spain ['P1,1490 413 1719 484']
                     )                    ) ['P1,1490 413 1719 484']
              FEDERICO             FEDERICO ['P1,317 558 530 588']
                OLORIZ               OLORIZ ['P1,542 550 703 594']
                     ,                    , ['P1,542 550 703 594']
X               MATiAS               MATIAS ['P1,715 550 873 588']
                REOLID               REOLID ['P1,884 558 1051 594']
                     ,                    , ['P1,884 558 1051 594']
                   and                  and ['P1,1063 558 1129 588']
             FRANCISCO            FRANCISCO ['P1,1139 557 1378 588']
                    J.                   J. ['P1,1388 558 1418 588']
       RODRIGUEZ-TOVAR      RODRIGUEZ-TOVAR ['P1,1431 550 1831 588']
          Departamento         Departamento ['P1,69 612 321 649']
         Estratigrafia        Estratigrafia ['P1,330 611 561 649']
                     y                    y ['P1,569 622 590 649']
         Paleontologia        Paleontologia ['P1,600 611 845 649']
                     ,                    , ['P1,600 611 845 649']
              Facultad             Facultad ['P1,857 611 1015 642']
                    de                   de ['P1,1025 611 1064 642']
              Ciencias             Ciencias ['P1,1076 611 1229 648']
                     ,                    , ['P1,1076 611 1229 648']
           Universidad          Universidad ['P1,1247 611 1459 642']
                    de                   de ['P1,1469 611 1508 642']
               Granada              Granada ['P1,1520 611 1685 642']
                     .                    . ['P1,1520 611 1685 642']
                Campus               Campus ['P1,1701 611 1844 649']
           Fuentenueva          Fuentenueva ['P1,1853 612 2082 648']
                     ,                    , ['P1,1853 612 2082 648']
               Granada              Granada ['P1,675 655 833 686']
                 18071                18071 ['P1,846 656 958 691']
                     ,                    , ['P1,846 656 958 691']
                 Spain                Spain ['P1,972 655 1084 693']
                     ,                    , ['P1,972 655 1084 693']
